id_aluno,data_matricula,data_cancelamento,plano,valor_mensalidade,unidade,modalidade_principal,idade,frequencia_semanal,usa_app,checkins_app_mes
515,2024-07-14,,Mensal,123.4,Zona Leste,Crossfit,43.0,3.32,False,0.0
221,2025-06-17,,Mensal,129.9, Zona Leste ,,31.0,3.36,True,12.0
1069,2025-06-23,,Mensal,129.9,Zona Oeste,Musculacao,42.0,7.0,True,24.0
1161,2025-08-25,2025-12-29,Mensal,123.4,Centro,Yoga,19.0,0.94,False,0.0
66,2024-10-12,,Trimestral,109.9,Zona Oeste,Funcional,41.0,2.48,False,0.0
430,2025-08-29,,Trimestral,109.9,Zona Leste,Spinning,34.0,4.25,True,12.0
479,2024-10-30,2025-05-07,Trimestral,104.4,Zona Oeste,Musculacao,43.0,2.74,False,0.0
637,2025-07-22,,Trimestral,109.9,Zona Leste,Musculacao,41.0,2.96,True,7.0
994,2025-03-21,2025-07-21,Mensal,129.9,Centro,Musculacao,41.0,2.37,False,0.0
1031,2025-06-07,,Trimestral,98.91,Zona Oeste,Funcional,27.0,,True,14.0
938,2025-05-23,,Mensal,129.9,Zona Oeste,Funcional,32.0,1.75,True,10.0
813,2024-01-07,,Anual,85.4,Zona Leste,Musculacao,28.0,6.25,True,20.0
683,2025-01-14,2025-03-02,Mensal,123.4,Centro,Musculacao,41.0,1.91,True,7.0
240,2024-01-05,2024-07-10,MENSAL,129.9,Zona Oeste,Musculacao,43.0,,False,0.0
124,2024-11-02,2025-04-12,Mensal,129.9,Zona Leste,Funcional,27.0,2.57,True,
644,2025-05-10,,Mensal,-129.9,Centro,Musculacao,36.0,3.85,True,21.0
77,2024-06-05,, Mensal ,129.9,Centro,Funcional,40.0,4.93,True,13.0
846,2024-08-19,,Anual,85.4,Zona Leste,Musculacao,31.0,2.52,True,9.0
1275,2024-01-23,2024-05-25,Mensal,129.9,Zona Oeste,Musculacao,42.0,1.04,False,0.0
782,2024-11-15,,Anual,89.9, Zona Leste ,Crossfit,23.0,2.99,True,9.0
52,2025-06-18,,mensal ,129.9,Zona Leste,Spinning,17.0,5.57,True,22.0
71,2025-03-20,2025-12-03,Mensal,129.9,Zona Leste,Funcional,17.0,0.96,False,0.0
434,01/10/2025,,Anual,85.4,Centro,Musculacao,32.0,3.97,True,10.0
1286,2025-05-16,,Anual,89.9,Zona Oeste,Musculacao,51.0,1.94,True,4.0
241,2024-01-19,,Trimestral,109.9, Zona Leste ,Funcional,32.0,2.63,True,9.0
125,2024-08-07,2025-01-23,Mensal,129.9,Zona Leste,Musculacao,27.0,1.21,False,0.0
1102,2024-03-25,,Mensal,123.4,Zona Oeste,Crossfit,24.0,5.33,True,20.0
375,11/05/2024,2024-06-12,Mensal,129.9,Centro,,40.0,2.17,True,2.0
1400,2025-11-24,,Mensal,-129.9,Zona Leste,Musculacao,49.0,3.35,True,12.0
980,2024-07-14,2024-10-03,Mensal,129.9,Centro,Funcional,27.0,1.69,False,0.0
975,2024-08-08,,Mensal,409.82,Zona Leste,Musculacao,20.0,1.8,True,7.0
333,2024-11-09,,Trimestral,109.9,Zona Oeste,Crossfit,36.0,1.87,False,0.0
1147,2025-10-15,2025-11-14,Trimestral,109.9,Zona Oeste,Musculacao,26.0,3.07,False,0.0
260,2024-04-18,,Trimestral,98.91,Centro,Crossfit,33.0,2.06,True,7.0
176,02/02/2024,,Mensal,123.4,Centro,Funcional,18.0,2.07,False,0.0
1484,2024-02-10,,Mensal,129.9,Zona Oeste,Musculacao,46.0,3.43,True,15.0
716,2024-11-24,2025-02-06,Mensal,129.9,Zona Leste,Musculacao,47.0,2.6,False,0.0
602,2025-04-21,,Trimestral,109.9,Zona Leste,Musculacao,37.0,6.47,True,22.0
899,2025-04-08,,Mensal,116.91,Zona Leste,Musculacao,56.0,1.89,True,5.0
1091,2025-11-20,,mensal ,129.9,Zona Oeste,Funcional,50.0,3.2,True,9.0
1422,2024-01-26,,mensal ,368.62,Zona Leste,Musculacao,21.0,,True,18.0
1019,21/03/2025,,Mensal,129.9,Zona Oeste,Funcional,58.0,6.36,True,22.0
1375,2024-09-06,,Anual,89.9,Zona Leste,,55.0,6.29,True,13.0
1308,2024-07-11,,Trimestral,98.91,Zona Oeste,Spinning,,5.34,True,18.0
1337,2024-01-11,2024-02-20,Mensal,123.4,Zona Oeste,Musculacao,30.0,2.86,False,
486,25/10/2025,,Mensal,123.4,Centro,Musculacao,34.0,3.06,True,11.0
353,2024-02-27,,Trimestral,109.9,Zona Oeste,Funcional,43.0,3.75,True,17.0
68,2025-03-12,2025-07-26,Mensal,129.9,Zona Leste,Funcional,46.0,2.2,True,10.0
845,2024-07-21,2024-09-16,Mensal,129.9,Zona Oeste,Funcional,37.0,2.02,True,10.0
907,2024-09-16,2024-11-19,Mensal,129.9,Zona Oeste,Musculacao,30.0,3.36,True,11.0
271,2024-06-29,2024-09-29,Mensal,129.9,Zona Oeste,Funcional,44.0,1.55,False,0.0
537,2025-04-07,,Mensal,123.4,Centro,Funcional,42.0,7.0,True,20.0
536,2024-02-22,2024-07-18,Mensal,129.9,Centro,Musculacao,48.0,2.59,False,0.0
1442,2025-03-08,2025-04-18,mensal,129.9,Zona Leste,Musculacao,42.0,0.65,False,0.0
1278,2025-10-30,,Mensal,123.4,Zona Oeste,Funcional,32.0,2.91,True,
910,2024-11-04,2025-04-27,Mensal,123.4,Centro,Musculacao,35.0,2.36,True,
173,22/10/2024,2025-07-01,MENSAL,129.9,Zona Oeste,Funcional,32.0,4.24,True,20.0
811,15/12/2024,,mensal,129.9,Centro,Funcional,39.0,3.46,False,0.0
966,2024-04-02,2024-11-20,mensal ,129.9, Zona Oeste ,Musculacao,,1.13,False,0.0
30,2024-06-11,2024-08-16,trimestral,109.9,Zona Leste,Musculacao,35.0,1.52,False,0.0
586,2024-06-08,2025-01-30,Trimestral,104.4,Zona Leste,Spinning,32.0,3.03,False,0.0
539,2024-07-29,2024-12-04,Mensal,129.9,Zona Oeste,Crossfit,29.0,3.27,True,54.0
1053,2025-02-23,,Mensal,129.9,Zona Oeste,Musculacao,25.0,4.01,False,0.0
1213,2025-09-14,,TRIMESTRAL,109.9,Zona Leste,Musculacao,30.0,3.23,True,9.0
136,2024-06-08,,Mensal,129.9,Zona Leste,Crossfit,55.0,4.43,True,14.0
680,2025-09-05,,Mensal,129.9,Centro,Funcional,26.0,4.42,True,16.0
426,2024-08-23,,Trimestral,-109.9,Zona Leste,Spinning,21.0,6.07,True,27.0
527,2024-03-06,2024-07-18,Anual,89.9, Centro ,,40.0,2.59,True,8.0
1094,2024-05-27,2025-01-01,Mensal,129.9,Zona Leste,Funcional,25.0,1.04,False,0.0
1439,03/06/2024,,Anual ,89.9,Zona Leste,Yoga,26.0,5.01,True,19.0
368,2024-08-05,,trimestral,109.9,Zona Leste,Musculacao,38.0,5.59,True,17.0
185,2024-05-08,2025-02-16,Trimestral,98.91,Zona Leste,Musculacao,30.0,1.34,False,0.0
245,2024-05-28,2024-10-21,Trimestral,109.9,Zona Oeste,Musculacao,34.0,3.89,False,
1360,2024-03-09,,Mensal,116.91,Zona Oeste,Funcional,22.0,,True,15.0
381,2025-02-08,,Trimestral,109.9, Zona Oeste ,Musculacao,34.0,5.55,True,17.0
1358,2024-08-12,2024-11-05,Mensal,129.9,Zona Leste,Musculacao,27.0,2.57,True,15.0
1334,2025-07-02,2025-07-19,Anual,89.9,Centro,Spinning,23.0,1.16,False,0.0
842,2025-05-09,2025-12-03,Trimestral,109.9,Zona Leste,Spinning,44.0,2.62,False,0.0
1108,2025-01-20,,Mensal,129.9,Zona Leste,Musculacao,33.0,4.29,True,15.0
382,20/10/2024,2025-02-03,Anual,89.9,Zona Oeste,Funcional,44.0,4.68,False,0.0
590,2025-10-03,,Mensal,129.9,Zona Oeste,Musculacao,29.0,2.06,True,4.0
675,2025-02-03,,Trimestral,343.02,Zona Leste,Funcional,48.0,6.69,True,19.0
1106,2025-05-05,,Trimestral,104.4,Zona Leste,Yoga,24.0,4.15,True,12.0
671,2024-10-11,2024-11-19,Mensal,129.9,Zona Leste,Crossfit,48.0,1.72,False,0.0
142,2024-01-17,2024-06-18,Mensal,129.9,Zona Leste,,46.0,2.82,True,15.0
1366,2024-07-21,,Mensal,129.9,Zona Leste,Musculacao,50.0,3.89,True,12.0
1059,2024-05-17,,Mensal,129.9,Zona Oeste,Spinning,,4.42,True,28.0
1244,2024-05-10,,Mensal,129.9,Zona Oeste,,37.0,5.62,True,20.0
983,2025-08-15,,Trimestral,109.9,Zona Leste,Musculacao,29.0,5.15,True,22.0
1243,2024-08-17,,Mensal,129.9,Zona Leste,Musculacao,26.0,3.1,True,14.0
1474,2024-03-23,2024-04-29,Mensal,129.9,Centro,Musculacao,26.0,3.31,True,14.0
325,2025-07-31,2025-11-08,ANUAL,-89.9,Zona Oeste,Musculacao,50.0,4.75,True,18.0
1054,2024-08-08,,Mensal,129.9,Centro,Yoga,20.0,1.61,False,0.0
204,2024-04-25,,Mensal,123.4, Zona Oeste ,Musculacao,46.0,6.63,True,21.0
199,2025-06-05,,Mensal,129.9, Centro ,,25.0,4.06,True,10.0
45,2025-02-11,,Anual,89.9,Zona Oeste,,31.0,1.53,True,
927,2025-02-28,,Mensal,129.9,Zona Leste,Crossfit,36.0,4.95,True,9.0
352,2025-08-19,2025-09-13,Mensal,129.9,Centro,Musculacao,24.0,3.37,True,13.0
947,2024-04-17,2024-06-03,Trimestral,104.4,Zona Leste,Musculacao,35.0,,False,0.0
1202,2024-04-18,,Trimestral,330.95,Zona Oeste,Musculacao,20.0,1.67,False,0.0
1259,23/10/2024,,Mensal,129.9,Zona Oeste,Crossfit,41.0,5.05,True,11.0
116,2024-08-17,,Anual,89.9,Zona Leste,Crossfit,42.0,5.73,True,22.0
572,2025-07-16,2025-09-05,Anual ,89.9,Zona Leste,Musculacao,,1.94,True,6.0
1007,2024-12-31,,Anual,89.9, Centro ,,48.0,2.97,False,0.0
809,2025-09-21,2025-11-27,mensal,129.9,Zona Oeste,Spinning,24.0,2.83,True,12.0
355,2025-06-03,2025-09-02,Mensal,129.9,Centro,Funcional,44.0,5.77,True,21.0
1075,2025-05-13,,Anual,89.9,Zona Oeste,Musculacao,37.0,1.63,False,0.0
381,2025-02-08,,Trimestral,109.9,Zona Oeste,Musculacao,34.0,5.55,True,17.0
622,2024-01-06,,Mensal,123.4,Zona Leste,Crossfit,42.0,1.59,True,3.0
79,2024-07-17,,TRIMESTRAL,109.9,Centro,Musculacao,28.0,4.56,True,14.0
310,2025-08-16,, Mensal ,129.9, Zona Leste ,,35.0,2.27,False,0.0
1424,2025-10-12,,Mensal,129.9,Zona Oeste,Crossfit,41.0,7.0,True,27.0
673,2024-05-21,,Anual,80.91,Zona Oeste,,41.0,2.54,True,9.0
868,28/04/2025,,Trimestral,109.9,Zona Leste,Musculacao,28.0,5.53,True,19.0
1253,2025-11-30,,Mensal,123.4, Centro ,Musculacao,36.0,4.01,True,
552,2024-02-27,,Mensal,327.41,Zona Leste,Yoga,42.0,4.78,True,19.0
16,2024-12-15,,mensal,129.9,Zona Leste,Spinning,40.0,3.91,True,13.0
1433,29/07/2025,,Mensal,129.9,Zona Oeste,Crossfit,43.0,1.2,False,0.0
797,2025-06-25,2025-08-03,Mensal,129.9,Zona Oeste,Funcional,35.0,3.06,False,0.0
1162,2024-10-05,,Trimestral,109.9,Zona Leste,Musculacao,38.0,4.28,True,8.0
1231,2024-12-28,,Mensal,116.91,Zona Leste,Musculacao,17.0,3.41,True,17.0
1205,2025-03-12,,Mensal,129.9,Zona Oeste,Crossfit,34.0,,True,14.0
498,2025-02-02,,Trimestral,109.9,Zona Leste,,38.0,3.86,True,8.0
1324,29/05/2024,,Trimestral,109.9,Centro,Musculacao,29.0,3.94,True,
553,2025-02-10,,Mensal,129.9, Zona Oeste ,Spinning,44.0,2.26,False,0.0
186,2024-10-06,2025-07-01,Trimestral,109.9,Zona Leste,Funcional,,2.65,True,8.0
1132,2024-02-20,2024-03-07,Mensal,129.9,Zona Oeste,Funcional,34.0,1.4,True,5.0
1262,2025-10-15,,Mensal,129.9,Centro,Musculacao,46.0,3.71,False,0.0
1377,2025-10-30,,Trimestral,109.9,Zona Leste,Crossfit,36.0,2.89,True,6.0
775,2025-01-08,,Mensal,123.4,Centro,Spinning,39.0,2.52,True,13.0
1038,2024-06-15,,Mensal,129.9,Zona Leste,Spinning,24.0,,True,24.0
901,21/08/2025,2025-12-12,Mensal,129.9,Zona Oeste,Funcional,23.0,3.39,True,
1068,2024-07-15,,Trimestral,104.4,Zona Leste,Musculacao,35.0,1.34,True,5.0
1421,2024-02-26,,Trimestral,109.9,Centro,Musculacao,29.0,3.84,True,
1049,2025-01-17,,Anual,80.91, Zona Leste ,Musculacao,29.0,2.9,True,
584,2025-08-07,,Mensal,123.4,Zona Leste,,37.0,3.13,True,16.0
746,2024-02-11,,MENSAL,129.9,Zona Leste,Crossfit,24.0,4.05,True,12.0
665,2024-04-02,2024-07-16,Mensal,129.9, Centro ,Musculacao,26.0,1.6,True,5.0
57,2025-11-05,2025-12-23,Mensal,129.9,Centro,Musculacao,47.0,2.31,True,9.0
1014,2025-03-03,2025-05-20,Anual,89.9,Zona Leste,Spinning,46.0,2.08,True,7.0
1214,2025-03-17,,Mensal,129.9,Zona Leste,Funcional,33.0,4.05,True,15.0
1186,2025-02-24,,Trimestral,109.9,Zona Oeste,Musculacao,24.0,2.78,True,10.0
1471,2024-09-21,2024-11-01,anual,287.58,Zona Oeste,Musculacao,49.0,4.14,True,9.0
238,05/11/2025,,Trimestral,109.9,Zona Leste,Crossfit,44.0,,True,19.0
44,2024-09-04,2025-05-15,mensal,123.4,Zona Leste,Spinning,23.0,,True,10.0
1320,2024-12-08,,Anual,89.9,Centro,Yoga,37.0,1.34,True,7.0
383,2024-01-16,,Trimestral,109.9,Zona Leste,Musculacao,41.0,1.6,True,12.0
905,02/08/2024,,Anual ,89.9, Centro ,Musculacao,30.0,2.77,True,11.0
662,2025-07-01,,ANUAL,89.9,Zona Leste,Musculacao,28.0,5.47,True,17.0
102,13/08/2024,,Trimestral,-109.9,Zona Leste,Crossfit,44.0,3.01,True,
452,2025-09-27,,Anual,89.9,Zona Leste,Yoga,31.0,2.32,True,8.0
591,2024-03-23,,Anual,89.9,Zona Leste,Musculacao,35.0,2.81,True,15.0
108,2024-06-08,2024-08-28,Mensal,123.4,Zona Leste,Crossfit,46.0,3.5,False,0.0
367,2024-02-28,,Trimestral,104.4,Centro,Funcional,34.0,7.0,True,24.0
1079,2024-02-13,,Trimestral,109.9, Zona Leste ,Crossfit,35.0,4.06,True,18.0
332,2025-10-27,,Mensal,129.9,Centro,Yoga,27.0,5.7,True,20.0
421,2024-01-28,,Trimestral,109.9,Zona Oeste,Musculacao,23.0,7.0,True,26.0
275,2024-10-12,,Trimestral,109.9,Zona Oeste,Musculacao,36.0,7.0,True,81.0
1203,2025-01-22,,Trimestral,109.9,Zona Leste,Yoga,25.0,3.85,False,0.0
814,2024-12-09,,Trimestral,109.9,Zona Leste,,25.0,2.91,True,13.0
737,2025-11-21,,Mensal,123.4,Zona Leste,Musculacao,34.0,0.54,False,0.0
129,2024-11-10,,Mensal,123.4,Zona Leste,Musculacao,34.0,1.9,True,10.0
272,2024-12-30,,Mensal,123.4,Zona Oeste,Crossfit,37.0,3.01,True,10.0
863,19/06/2024,,Trimestral,109.9, Zona Oeste ,Funcional,30.0,1.59,True,8.0
343,2025-11-05,,Trimestral,98.91,Zona Leste,Musculacao,20.0,4.4,True,16.0
719,2024-08-01,,Trimestral,109.9, Centro ,Crossfit,,3.25,True,14.0
1410,2024-02-03,,Trimestral,109.9,Zona Oeste,Musculacao,31.0,2.44,True,6.0
514,2024-11-16,2025-01-15,Mensal,129.9,Zona Leste,Crossfit,27.0,1.53,False,0.0
1270,2024-07-07,2024-10-14,MENSAL,129.9,Centro,Yoga,38.0,,False,0.0
533,2025-04-16,,Mensal,129.9,Zona Leste,Spinning,55.0,2.3,True,12.0
1404,2024-05-26,,MENSAL,123.4,Centro,Spinning,34.0,6.49,True,16.0
304,2024-01-30,,Mensal,129.9,Zona Oeste,Musculacao,44.0,4.27,True,21.0
1109,2025-01-20,,Anual,89.9,Zona Oeste,,30.0,7.0,True,30.0
1285,2024-07-28,2024-09-22,Anual,89.9,Zona Leste,Musculacao,37.0,1.48,True,6.0
248,2025-11-28,,Mensal,129.9,Zona Oeste,Funcional,21.0,1.36,False,0.0
33,20/09/2025,,Mensal,129.9,Zona Oeste,Crossfit,41.0,1.58,False,0.0
1459,2025-11-21,,Anual,80.91,Zona Leste,Crossfit,46.0,3.29,True,13.0
616,2025-08-19,2025-09-28,Trimestral,104.4,Centro,Musculacao,24.0,3.83,True,19.0
1085,11/01/2024,,Anual,89.9, Zona Leste ,Crossfit,43.0,3.34,False,0.0
555,2024-05-19,2024-09-14,Mensal,129.9,Zona Leste,Musculacao,35.0,2.91,True,8.0
491,2024-10-17,,trimestral,109.9, Zona Leste ,Musculacao,,3.53,True,8.0
362,2025-04-06,,Mensal,129.9,Centro,Funcional,26.0,3.04,True,12.0
262,2025-07-09,,Trimestral,109.9,Zona Leste,Funcional,31.0,2.44,True,7.0
1466,2024-09-04,,Trimestral,109.9,Zona Oeste,Musculacao,21.0,3.21,True,11.0
923,2025-01-17,,Trimestral,109.9,Zona Oeste,Crossfit,21.0,4.69,True,17.0
232,04/11/2024,2025-02-21,Mensal,129.9,Zona Leste,Musculacao,25.0,,False,0.0
1207,2024-01-29,,Trimestral,109.9,Centro,Musculacao,35.0,4.85,True,21.0
1321,02/09/2025,2025-11-15,Mensal,129.9,Zona Leste,Musculacao,30.0,2.41,True,11.0
483,2024-02-27,,Trimestral,109.9,Centro,Crossfit,33.0,2.29,True,5.0
164,2024-11-29,2024-12-26,Mensal,129.9, Zona Leste ,Spinning,47.0,2.81,False,
630,2024-05-16,,Trimestral,109.9,Zona Leste,Funcional,18.0,3.97,True,14.0
1491,2024-07-22,2024-11-10,Mensal,116.91,Centro,Musculacao,24.0,3.37,True,7.0
1312,21/12/2024,,Anual,89.9,Centro,Funcional,34.0,5.36,True,24.0
756,2024-07-11,,Mensal,129.9,Zona Oeste,Musculacao,61.0,4.72,False,0.0
1497,2024-11-11,,Anual,89.9,Zona Oeste,Funcional,40.0,,True,31.0
612,24/08/2024,,trimestral,109.9,Zona Oeste,Spinning,29.0,5.79,False,0.0
1380,2025-08-06,,Mensal,123.4,Zona Leste,Musculacao,32.0,3.41,False,0.0
354,2024-10-19,2025-01-19,Trimestral,104.4,Zona Oeste,Musculacao,17.0,,True,7.0
1223,2024-03-16,2024-10-05,Anual,80.91,Zona Leste,Musculacao,26.0,5.49,False,0.0
472,17/04/2024,,Mensal,129.9,Centro,Musculacao,44.0,2.76,True,11.0
193,2024-11-03,,Mensal,129.9,Zona Leste,Musculacao,38.0,6.88,True,23.0
711,2025-05-10,,anual,89.9,Centro,Spinning,25.0,2.78,True,8.0
351,26/10/2025,,Trimestral,109.9,Zona Leste,Spinning,46.0,4.06,True,12.0
979,2024-10-05,,mensal,116.91, Zona Leste ,Funcional,59.0,4.39,True,19.0
1399,2024-11-14,2025-01-02,Trimestral,109.9,Zona Oeste,Musculacao,19.0,2.97,True,
64,2024-06-15,, Trimestral,109.9,Centro,Yoga,19.0,7.0,True,37.0
722,2025-11-29,,Mensal,129.9,Zona Oeste,Yoga,,0.86,True,2.0
1092,2025-06-01,,Trimestral,109.9,Centro,Crossfit,22.0,2.21,True,15.0
949,2024-12-12,2025-04-21,ANUAL,89.9,Zona Oeste,,47.0,2.56,False,0.0
844,2025-10-16,,Mensal,129.9, Zona Leste ,Musculacao,22.0,1.85,True,7.0
290,2024-06-08,2024-07-03,Mensal,129.9,Zona Leste,Musculacao,37.0,4.87,True,15.0
433,2025-07-24,,trimestral,98.91,Zona Oeste,,18.0,3.61,True,19.0
589,2025-03-29,2025-05-19,Mensal,116.91,Zona Oeste,Funcional,32.0,5.45,False,0.0
219,13/09/2024,,Anual,89.9,Zona Oeste,Musculacao,22.0,4.03,True,21.0
1339,2024-07-07,,Anual,85.4,Zona Leste,Musculacao,20.0,4.3,True,18.0
1247,03/06/2025,,Trimestral,104.4, Zona Leste ,Yoga,23.0,3.92,True,11.0
1413,2025-04-12,2025-05-13,Anual,85.4, Zona Oeste ,Crossfit,36.0,1.49,False,
629,2025-07-30,,Trimestral,298.42,Zona Leste,Yoga,33.0,6.55,True,26.0
1097,2025-10-30,,Mensal,123.4,Zona Leste,Crossfit,34.0,3.26,True,16.0
1273,2024-03-13,2024-08-24,Mensal,129.9,Centro,Musculacao,29.0,2.77,True,
1103,2024-06-30,,Trimestral,109.9,Zona Oeste,Crossfit,34.0,3.73,True,14.0
428,2025-08-22,,Anual,89.9,Zona Oeste,,31.0,,True,37.0
655,2024-02-28,,anual,89.9, Zona Oeste ,Funcional,34.0,5.16,True,26.0
1033,2024-11-09,,Mensal,129.9, Zona Oeste ,Musculacao,23.0,,True,9.0
561,09/04/2024,2024-09-23,Mensal,129.9,Centro,Crossfit,35.0,4.27,True,13.0
298,2025-11-28,,Trimestral,109.9,Zona Leste,Spinning,27.0,4.6,False,0.0
959,2025-10-29,, Mensal ,129.9,Zona Leste,Funcional,16.0,4.34,True,20.0
611,2025-08-26,,Trimestral,104.4,Zona Oeste,Spinning,36.0,2.65,True,8.0
299,2024-01-11,2024-03-26,Trimestral,359.35,Zona Oeste,Yoga,49.0,,True,14.0
1090,2024-01-23,,Mensal,129.9,Zona Leste,Funcional,17.0,2.97,True,8.0
661,2024-09-01,2024-09-24,Mensal,116.91, Zona Leste ,Musculacao,37.0,1.33,False,0.0
1444,2025-01-25,2025-05-12,Mensal,129.9,Zona Leste,Musculacao,42.0,1.64,False,0.0
412,2024-03-28,2024-05-14,Trimestral,104.4,Zona Leste,Funcional,38.0,2.91,True,14.0
620,2024-06-24,2024-10-04,Mensal,123.4,Zona Leste,Musculacao,43.0,1.26,False,0.0
1240,2025-02-11,,Mensal,129.9,Zona Oeste,Musculacao,33.0,3.44,True,22.0
278,2025-03-29,,Mensal,129.9,Zona Leste,Spinning,32.0,2.33,True,8.0
1200,2025-05-07,2025-11-21,Trimestral,109.9,Centro,Crossfit,36.0,3.05,True,9.0
880,2025-04-14,,Trimestral,109.9,Zona Oeste,Musculacao,26.0,4.4,False,0.0
631,2025-01-15,,Anual,89.9,Zona Leste,Funcional,30.0,6.5,True,21.0
237,2024-05-22,,Mensal,123.4,Centro,Musculacao,19.0,5.4,True,16.0
1281,25/04/2025,2025-11-05,Mensal,129.9, Zona Leste ,,31.0,2.57,True,10.0
1353,2024-07-13,,Mensal,129.9,Centro,,51.0,2.8,True,11.0
1489,16/11/2025,,Anual,89.9,Zona Leste,Musculacao,40.0,3.78,False,0.0
906,30/08/2024,,Trimestral,348.88,Zona Leste,Musculacao,28.0,4.09,True,12.0
