id_aluno,data_matricula,data_cancelamento,plano,valor_mensalidade,unidade,modalidade_principal,idade,frequencia_semanal,usa_app,checkins_app_mes,outlier_frequencia_semanal,outlier_valor_mensalidade,outlier_checkins_app_mes,outlier_origem,evadiu,status,dias_vinculo,meses_vinculo,evasao_precoce,receita_acumulada,coorte_mes,faixa_etaria,segmento_engajamento,outlier_receita_acumulada,outlier_dias_vinculo,outlier_derivada,outlier_qualquer
31,2025-07-16,,Trimestral,109.9,Zona Leste,Musculacao,24,3.36,True,12,False,False,False,False,False,Ativo,168,5.52,False,606.65,2025-07,16-24,Alto,False,False,False,False
32,2024-01-21,,Anual,89.9,Zona Leste,Musculacao,32,5.05,True,0,False,False,False,False,False,Ativo,710,23.32,False,2096.47,2024-01,25-34,Alto,False,False,False,False
33,2025-09-20,,Mensal,129.9,Zona Oeste,Crossfit,41,1.58,False,0,False,False,False,False,False,Ativo,102,3.35,False,435.16,2025-09,35-44,Baixo,False,False,False,False
34,2024-08-30,,Mensal,129.9,Zona Oeste,Crossfit,48,3.09,True,15,False,False,False,False,False,Ativo,488,16.03,False,2082.3,2024-08,45-54,Alto,False,False,False,False
35,2024-01-04,,Mensal,129.9,Zona Leste,Musculacao,25,2.5,True,0,False,False,False,False,False,Ativo,727,23.88,False,3102.01,2024-01,25-34,Medio-Digital,False,False,False,False
36,2025-02-25,2025-04-30,Mensal,123.4,Zona Oeste,Yoga,33,2.34,False,0,False,False,False,False,True,Cancelado,64,2.1,False,259.14,2025-02,25-34,Baixo,False,False,False,False
37,2024-07-11,,Mensal,129.9,Centro,Funcional,32,2.14,True,5,False,False,False,False,False,Ativo,538,17.67,False,2295.33,2024-07,25-34,Medio-Digital,False,False,False,False
38,2024-08-01,,Mensal,129.9,Zona Oeste,Crossfit,43,4.68,True,0,False,False,False,False,False,Ativo,517,16.98,False,2205.7,2024-08,35-44,Alto,False,False,False,False
39,2024-12-03,,Mensal,123.4,Centro,Musculacao,31,5.93,True,34,False,False,False,False,False,Ativo,393,12.91,False,1593.09,2024-12,25-34,Alto,False,False,False,False
40,2025-02-09,,Trimestral,109.9,Zona Leste,Musculacao,32,2.95,True,11,False,False,False,False,False,Ativo,325,10.68,False,1173.73,2025-02,25-34,Medio-Digital,False,False,False,False
41,2024-04-05,,Mensal,129.9,Centro,Spinning,26,3.68,True,9,False,False,False,False,False,Ativo,635,20.86,False,2709.71,2024-04,25-34,Alto,False,False,False,False
42,2024-02-03,,Anual,89.9,Zona Leste,Crossfit,33,3.67,True,18,False,False,False,False,False,Ativo,697,22.9,False,2058.71,2024-02,25-34,Alto,False,False,False,False
43,2024-11-18,2025-02-02,Trimestral,109.9,Zona Leste,Funcional,35,1.35,False,0,False,False,False,False,True,Cancelado,76,2.5,False,274.75,2024-11,35-44,Baixo,False,False,False,False
44,2024-09-04,2025-05-15,Mensal,123.4,Zona Leste,Spinning,23,3.26,True,10,False,False,False,False,True,Cancelado,253,8.31,False,1025.45,2024-09,16-24,Alto,False,False,False,False
45,2025-02-11,,Anual,89.9,Zona Oeste,Musculacao,31,1.53,True,0,False,False,False,False,False,Ativo,323,10.61,False,953.84,2025-02,25-34,Medio-Digital,False,False,False,False
46,2025-06-07,,Trimestral,109.9,Zona Leste,Funcional,25,2.65,True,5,False,False,False,False,False,Ativo,207,6.8,False,747.32,2025-06,25-34,Medio-Digital,False,False,False,False
47,2025-03-06,2025-05-02,Mensal,129.9,Zona Leste,Crossfit,57,3.05,True,13,False,False,False,False,True,Cancelado,57,1.87,True,242.91,2025-03,55+,Alto,False,False,False,False
48,2024-03-14,,Mensal,129.9,Zona Oeste,Musculacao,31,4.32,True,19,False,False,False,False,False,Ativo,657,21.58,False,2803.24,2024-03,25-34,Alto,False,False,False,False
49,2025-11-28,,Trimestral,109.9,Zona Leste,Funcional,49,3.26,True,12,False,False,False,False,False,Ativo,33,1.08,False,118.69,2025-11,45-54,Alto,False,False,False,False
50,2025-05-15,,Mensal,123.4,Zona Leste,Spinning,30,4.74,True,13,False,False,False,False,False,Ativo,230,7.56,False,932.9,2025-05,25-34,Alto,False,False,False,False
51,2024-02-04,,Mensal,129.9,Zona Leste,Spinning,35,1.96,True,6,False,False,False,False,False,Ativo,696,22.86,False,2969.51,2024-02,35-44,Medio-Digital,False,False,False,False
52,2025-06-18,,Mensal,129.9,Zona Leste,Spinning,17,5.57,True,22,False,False,False,False,False,Ativo,196,6.44,False,836.56,2025-06,16-24,Alto,False,False,False,False
53,2025-09-08,,Trimestral,98.91,Zona Leste,Yoga,27,6.18,True,17,False,False,False,False,False,Ativo,114,3.75,False,370.91,2025-09,25-34,Alto,False,False,False,False
54,2025-02-02,2025-08-07,Trimestral,109.9,Zona Leste,Crossfit,34,1.2,False,0,False,False,False,False,True,Cancelado,186,6.11,False,671.49,2025-02,25-34,Baixo,False,False,False,False
55,2025-08-05,2025-10-17,Trimestral,109.9,Zona Leste,Spinning,49,3.26,True,0,False,False,False,False,True,Cancelado,73,2.4,False,263.76,2025-08,45-54,Alto,False,False,False,False
56,2025-09-12,,Trimestral,109.9,Zona Oeste,Musculacao,34,3.26,False,0,False,False,False,False,False,Ativo,110,3.61,False,396.74,2025-09,25-34,Medio-Presencial,False,False,False,False
57,2025-11-05,2025-12-23,Mensal,129.9,Centro,Musculacao,47,2.31,True,9,False,False,False,False,True,Cancelado,48,1.58,True,205.24,2025-11,45-54,Medio-Digital,False,False,False,False
58,2025-10-30,,Trimestral,109.9,Zona Oeste,Musculacao,39,2.74,False,0,False,False,False,False,False,Ativo,62,2.04,False,224.2,2025-10,35-44,Baixo,False,False,False,False
59,2024-05-15,2024-09-14,Mensal,129.9,Zona Oeste,Musculacao,50,3.51,False,0,False,False,False,False,True,Cancelado,122,4.01,False,520.9,2024-05,45-54,Medio-Presencial,False,False,False,False
60,2024-01-25,,Mensal,434.53,Centro,Musculacao,33,4.83,True,19,False,True,False,True,False,Ativo,706,23.19,False,10076.75,2024-01,25-34,Alto,True,False,True,True
61,2025-04-01,2025-07-16,Trimestral,109.9,Centro,Spinning,58,2.15,False,0,False,False,False,False,True,Cancelado,106,3.48,False,382.45,2025-04,55+,Baixo,False,False,False,False
62,2025-04-20,,Mensal,129.9,Zona Oeste,Musculacao,27,5.21,True,20,False,False,False,False,False,Ativo,255,8.38,False,1088.56,2025-04,25-34,Alto,False,False,False,False
63,2025-02-02,,Trimestral,104.4,Centro,Musculacao,24,2.37,True,11,False,False,False,False,False,Ativo,332,10.91,False,1139.0,2025-02,16-24,Medio-Digital,False,False,False,False
64,2024-06-15,,Trimestral,109.9,Centro,Yoga,19,7.0,True,37,False,False,False,False,False,Ativo,564,18.53,False,2036.45,2024-06,16-24,Alto,False,False,False,False
65,2025-10-26,,Trimestral,104.4,Centro,Musculacao,58,5.84,True,23,False,False,False,False,False,Ativo,66,2.17,False,226.55,2025-10,55+,Alto,False,False,False,False
66,2024-10-12,,Trimestral,109.9,Zona Oeste,Funcional,41,2.48,False,0,False,False,False,False,False,Ativo,445,14.62,False,1606.74,2024-10,35-44,Baixo,False,False,False,False
67,2025-06-03,2025-09-03,Trimestral,109.9,Zona Leste,Crossfit,33,1.71,False,0,False,False,False,False,True,Cancelado,92,3.02,False,331.9,2025-06,25-34,Baixo,False,False,False,False
68,2025-03-12,2025-07-26,Mensal,129.9,Zona Leste,Funcional,46,2.2,True,10,False,False,False,False,True,Cancelado,136,4.47,False,580.65,2025-03,45-54,Medio-Digital,False,False,False,False
69,2025-09-18,,Mensal,129.9,Zona Oeste,Musculacao,40,2.05,False,0,False,False,False,False,False,Ativo,104,3.42,False,444.26,2025-09,35-44,Baixo,False,False,False,False
70,2025-05-13,,Mensal,129.9,Zona Oeste,Musculacao,54,4.07,False,0,False,False,False,False,False,Ativo,232,7.62,False,989.84,2025-05,45-54,Medio-Presencial,False,False,False,False
71,2025-03-20,2025-12-03,Mensal,129.9,Zona Leste,Funcional,17,0.96,False,0,False,False,False,False,True,Cancelado,258,8.48,False,1101.55,2025-03,16-24,Baixo,False,False,False,False
72,2025-08-11,,Mensal,129.9,Zona Oeste,Musculacao,29,1.24,False,0,False,False,False,False,False,Ativo,142,4.66,False,605.33,2025-08,25-34,Baixo,False,False,False,False
73,2024-02-07,,Anual,89.9,Zona Oeste,Musculacao,27,4.56,True,20,False,False,False,False,False,Ativo,693,22.77,False,2047.02,2024-02,25-34,Alto,False,False,False,False
74,2025-05-08,2025-08-01,Mensal,129.9,Centro,Spinning,21,2.0,False,0,False,False,False,False,True,Cancelado,85,2.79,False,362.42,2025-05,16-24,Baixo,False,False,False,False
75,2025-02-14,,Mensal,129.9,Zona Leste,Spinning,44,2.41,True,9,False,False,False,False,False,Ativo,320,10.51,False,1365.25,2025-02,35-44,Medio-Digital,False,False,False,False
76,2025-06-28,,Mensal,129.9,Zona Leste,Musculacao,29,4.49,True,17,False,False,False,False,False,Ativo,186,6.11,False,793.69,2025-06,25-34,Alto,False,False,False,False
77,2024-06-05,,Mensal,129.9,Centro,Funcional,40,4.93,True,13,False,False,False,False,False,Ativo,574,18.86,False,2449.91,2024-06,35-44,Alto,False,False,False,False
78,2025-02-23,,Trimestral,109.9,Centro,Musculacao,58,5.71,True,23,False,False,False,False,False,Ativo,311,10.22,False,1123.18,2025-02,55+,Alto,False,False,False,False
79,2024-07-17,,Trimestral,109.9,Centro,Musculacao,28,4.56,True,14,False,False,False,False,False,Ativo,532,17.48,False,1921.05,2024-07,25-34,Alto,False,False,False,False
80,2024-03-22,,Trimestral,109.9,Centro,Yoga,33,3.26,True,7,False,False,False,False,False,Ativo,649,21.32,False,2343.07,2024-03,25-34,Alto,False,False,False,False
81,2025-02-06,2025-12-11,Trimestral,109.9,Centro,Musculacao,33,2.9,False,0,False,False,False,False,True,Cancelado,308,10.12,False,1112.19,2025-02,25-34,Baixo,False,False,False,False
82,2024-01-16,2024-02-04,Mensal,129.9,Zona Leste,Funcional,43,2.5,False,0,False,False,False,False,True,Cancelado,19,0.62,True,80.54,2024-01,35-44,Baixo,False,False,False,False
83,2024-03-06,2024-04-14,Trimestral,109.9,Zona Leste,Spinning,26,1.83,True,8,False,False,False,False,True,Cancelado,39,1.28,True,140.67,2024-03,25-34,Medio-Digital,False,False,False,False
84,2025-01-05,2025-02-17,Mensal,123.4,Zona Leste,Musculacao,25,1.86,True,6,False,False,False,False,True,Cancelado,43,1.41,True,173.99,2025-01,25-34,Medio-Digital,False,False,False,False
85,2025-09-20,,Mensal,129.9,Zona Oeste,Crossfit,33,5.11,False,0,False,False,False,False,False,Ativo,102,3.35,False,435.16,2025-09,25-34,Medio-Presencial,False,False,False,False
86,2025-05-15,,Mensal,123.4,Centro,Musculacao,33,2.11,True,4,False,False,False,False,False,Ativo,230,7.56,False,932.9,2025-05,25-34,Medio-Digital,False,False,False,False
87,2024-01-11,,Trimestral,109.9,Zona Leste,Musculacao,36,1.84,False,0,False,False,False,False,False,Ativo,720,23.65,False,2599.13,2024-01,35-44,Baixo,False,False,False,False
88,2024-03-17,,Mensal,129.9,Zona Oeste,Crossfit,19,5.32,True,16,False,False,False,False,False,Ativo,654,21.48,False,2790.25,2024-03,16-24,Alto,False,False,False,False
89,2024-10-28,2025-04-26,Mensal,129.9,Zona Leste,Funcional,49,1.35,True,8,False,False,False,False,True,Cancelado,180,5.91,False,767.71,2024-10,45-54,Medio-Digital,False,False,False,False
90,2024-10-27,,Mensal,129.9,Zona Leste,Funcional,36,3.4,True,13,False,False,False,False,False,Ativo,430,14.13,False,1835.49,2024-10,35-44,Alto,False,False,False,False
91,2024-01-28,,Mensal,129.9,Zona Leste,Musculacao,24,0.82,True,2,False,False,False,False,False,Ativo,703,23.09,False,2999.39,2024-01,16-24,Medio-Digital,False,False,False,False
92,2024-06-28,,Trimestral,104.4,Zona Leste,Musculacao,30,6.81,True,23,False,False,False,False,False,Ativo,551,18.1,False,1889.64,2024-06,25-34,Alto,False,False,False,False
93,2024-03-29,,Mensal,129.9,Centro,Funcional,32,6.22,True,30,False,False,False,False,False,Ativo,642,21.09,False,2739.59,2024-03,25-34,Alto,False,False,False,False
94,2025-01-31,2025-04-20,Mensal,129.9,Zona Leste,Musculacao,40,1.66,False,0,False,False,False,False,True,Cancelado,79,2.6,False,337.74,2025-01,35-44,Baixo,False,False,False,False
95,2025-04-05,2025-05-20,Mensal,129.9,Centro,Musculacao,17,2.91,True,9,False,False,False,False,True,Cancelado,45,1.48,True,192.25,2025-04,16-24,Medio-Digital,False,False,False,False
96,2024-09-30,,Trimestral,109.9,Zona Oeste,Yoga,23,2.04,False,0,False,False,False,False,False,Ativo,457,15.01,False,1649.6,2024-09,16-24,Baixo,False,False,False,False
97,2025-02-04,,Mensal,123.4,Zona Leste,Musculacao,35,1.78,False,0,False,False,False,False,False,Ativo,330,10.84,False,1337.66,2025-02,35-44,Baixo,False,False,False,False
98,2024-05-21,2024-08-27,Mensal,129.9,Zona Leste,Musculacao,31,2.46,True,3,False,False,False,False,True,Cancelado,98,3.22,False,418.28,2024-05,25-34,Medio-Digital,False,False,False,False
99,2025-08-19,,Mensal,129.9,Centro,Musculacao,38,3.26,True,14,False,False,False,False,False,Ativo,134,4.4,False,571.56,2025-08,35-44,Alto,False,False,False,False
100,2024-01-04,2024-02-11,Anual,80.91,Zona Leste,Spinning,18,4.69,True,0,False,False,False,False,True,Cancelado,38,1.25,True,101.14,2024-01,16-24,Alto,False,False,False,False
101,2024-12-19,,Anual,80.91,Centro,Funcional,36,4.44,True,17,False,False,False,False,False,Ativo,377,12.39,False,1002.47,2024-12,35-44,Alto,False,False,False,False
103,2024-11-11,,Mensal,129.9,Zona Oeste,Musculacao,37,4.24,True,17,False,False,False,False,False,Ativo,415,13.63,False,1770.54,2024-11,35-44,Alto,False,False,False,False
104,2024-12-27,,Anual,85.4,Centro,Musculacao,34,2.12,True,2,False,False,False,False,False,Ativo,369,12.12,False,1035.05,2024-12,25-34,Medio-Digital,False,False,False,False
105,2025-03-28,,Trimestral,109.9,Zona Leste,Spinning,31,3.68,False,0,False,False,False,False,False,Ativo,278,9.13,False,1003.39,2025-03,25-34,Medio-Presencial,False,False,False,False
106,2025-10-12,,Trimestral,109.9,Zona Leste,Musculacao,23,3.35,True,8,False,False,False,False,False,Ativo,80,2.63,False,289.04,2025-10,16-24,Alto,False,False,False,False
107,2025-01-27,2025-07-20,Mensal,129.9,Centro,Spinning,31,2.68,False,0,False,False,False,False,True,Cancelado,174,5.72,False,743.03,2025-01,25-34,Baixo,False,False,False,False
108,2024-06-08,2024-08-28,Mensal,123.4,Zona Leste,Crossfit,46,3.5,False,0,False,False,False,False,True,Cancelado,81,2.66,False,328.24,2024-06,45-54,Medio-Presencial,False,False,False,False
109,2025-01-01,2025-02-23,Mensal,123.4,Zona Leste,Spinning,31,0.91,True,2,False,False,False,False,True,Cancelado,53,1.74,True,214.72,2025-01,25-34,Medio-Digital,False,False,False,False
110,2024-12-24,,Anual,89.9,Zona Leste,Spinning,22,2.36,False,0,False,False,False,False,False,Ativo,372,12.22,False,1098.58,2024-12,16-24,Baixo,False,False,False,False
111,2025-08-28,,Mensal,129.9,Zona Leste,Crossfit,27,3.96,True,14,False,False,False,False,False,Ativo,125,4.11,False,533.89,2025-08,25-34,Alto,False,False,False,False
112,2025-01-31,,Mensal,129.9,Zona Oeste,Musculacao,34,3.06,True,7,False,False,False,False,False,Ativo,334,10.97,False,1425.0,2025-01,25-34,Alto,False,False,False,False
113,2025-08-30,2025-11-22,Mensal,129.9,Zona Oeste,Crossfit,28,1.31,True,6,False,False,False,False,True,Cancelado,84,2.76,False,358.52,2025-08,25-34,Medio-Digital,False,False,False,False
114,2025-03-30,2025-06-21,Trimestral,104.4,Zona Leste,Spinning,37,3.27,True,18,False,False,False,False,True,Cancelado,83,2.73,False,285.01,2025-03,35-44,Alto,False,False,False,False
115,2025-02-04,2025-07-13,Mensal,129.9,Centro,Spinning,38,2.32,True,8,False,False,False,False,True,Cancelado,159,5.22,False,678.08,2025-02,35-44,Medio-Digital,False,False,False,False
116,2024-08-17,,Anual,89.9,Zona Leste,Crossfit,42,5.73,True,22,False,False,False,False,False,Ativo,501,16.46,False,1479.75,2024-08,35-44,Alto,False,False,False,False
117,2024-06-28,2024-07-25,Trimestral,109.9,Zona Leste,Spinning,33,1.89,True,6,False,False,False,False,True,Cancelado,27,0.89,True,97.81,2024-06,25-34,Medio-Digital,False,False,False,False
118,2024-03-10,2024-06-06,Trimestral,109.9,Zona Oeste,Spinning,43,1.92,True,7,False,False,False,False,True,Cancelado,88,2.89,False,317.61,2024-03,35-44,Medio-Digital,False,False,False,False
119,2025-01-18,2025-08-11,Mensal,123.4,Centro,Musculacao,22,3.72,True,12,False,False,False,False,True,Cancelado,205,6.73,False,830.48,2025-01,16-24,Alto,False,False,False,False
120,2025-10-06,,Trimestral,109.9,Zona Leste,Funcional,33,3.07,True,14,False,False,False,False,False,Ativo,86,2.83,False,311.02,2025-10,25-34,Alto,False,False,False,False
121,2024-01-09,2024-05-16,Trimestral,104.4,Zona Leste,Funcional,31,3.0,False,0,False,False,False,False,True,Cancelado,128,4.2,False,438.48,2024-01,25-34,Medio-Presencial,False,False,False,False
122,2025-10-28,,Trimestral,109.9,Zona Oeste,Musculacao,27,7.0,True,18,False,False,False,False,False,Ativo,64,2.1,False,230.79,2025-10,25-34,Alto,False,False,False,False
123,2025-08-24,2025-09-29,Mensal,129.9,Centro,Funcional,19,4.19,True,13,False,False,False,False,True,Cancelado,36,1.18,True,153.28,2025-08,16-24,Alto,False,False,False,False
124,2024-11-02,2025-04-12,Mensal,129.9,Zona Leste,Funcional,27,2.57,True,0,False,False,False,False,True,Cancelado,161,5.29,False,687.17,2024-11,25-34,Medio-Digital,False,False,False,False
125,2024-08-07,2025-01-23,Mensal,129.9,Zona Leste,Musculacao,27,1.21,False,0,False,False,False,False,True,Cancelado,169,5.55,False,720.94,2024-08,25-34,Baixo,False,False,False,False
126,2025-02-10,,Mensal,129.9,Zona Oeste,Musculacao,25,2.5,True,9,False,False,False,False,False,Ativo,324,10.64,False,1382.14,2025-02,25-34,Medio-Digital,False,False,False,False
127,2025-08-21,2025-12-24,Mensal,129.9,Zona Leste,Spinning,29,1.55,False,0,False,False,False,False,True,Cancelado,125,4.11,False,533.89,2025-08,25-34,Baixo,False,False,False,False
128,2024-01-21,2024-02-08,Mensal,129.9,Zona Leste,Musculacao,45,1.87,False,0,False,False,False,False,True,Cancelado,18,0.59,True,76.64,2024-01,45-54,Baixo,False,False,False,False
129,2024-11-10,,Mensal,123.4,Zona Leste,Musculacao,34,1.9,True,10,False,False,False,False,False,Ativo,416,13.67,False,1686.88,2024-11,25-34,Medio-Digital,False,False,False,False
130,2024-02-03,,Trimestral,109.9,Zona Leste,Spinning,59,5.23,True,0,False,False,False,False,False,Ativo,697,22.9,False,2516.71,2024-02,55+,Alto,False,False,False,False
131,2025-03-26,,Mensal,129.9,Zona Oeste,Musculacao,34,1.37,False,0,False,False,False,False,False,Ativo,280,9.2,False,1195.08,2025-03,25-34,Baixo,False,False,False,False
132,2024-02-23,,Anual,85.4,Centro,Musculacao,29,5.29,True,24,False,False,False,False,False,Ativo,677,22.24,False,1899.3,2024-02,25-34,Alto,False,False,False,False
133,2024-08-09,,Trimestral,109.9,Zona Oeste,Funcional,32,4.05,True,9,False,False,False,False,False,Ativo,509,16.72,False,1837.53,2024-08,25-34,Alto,False,False,False,False
134,2025-06-01,,Mensal,123.4,Zona Oeste,Musculacao,33,3.77,True,11,False,False,False,False,False,Ativo,213,7.0,False,863.8,2025-06,25-34,Alto,False,False,False,False
135,2025-06-10,,Trimestral,109.9,Centro,Crossfit,37,2.08,False,0,False,False,False,False,False,Ativo,204,6.7,False,736.33,2025-06,35-44,Baixo,False,False,False,False
136,2024-06-08,,Mensal,129.9,Zona Leste,Crossfit,55,4.43,True,14,False,False,False,False,False,Ativo,571,18.76,False,2436.92,2024-06,55+,Alto,False,False,False,False
137,2024-12-25,,Anual,89.9,Zona Leste,Funcional,23,2.27,True,0,False,False,False,False,False,Ativo,371,12.19,False,1095.88,2024-12,16-24,Medio-Digital,False,False,False,False
138,2024-05-09,2024-07-10,Mensal,123.4,Centro,Crossfit,41,5.98,True,16,False,False,False,False,True,Cancelado,62,2.04,False,251.74,2024-05,35-44,Alto,False,False,False,False
139,2025-02-18,,Trimestral,109.9,Zona Leste,Crossfit,34,3.26,True,15,False,False,False,False,False,Ativo,316,10.38,False,1140.76,2025-02,25-34,Alto,False,False,False,False
140,2024-01-06,2024-03-22,Mensal,129.9,Zona Oeste,Musculacao,36,6.48,True,27,False,False,False,False,True,Cancelado,76,2.5,False,324.75,2024-01,35-44,Alto,False,False,False,False
141,2025-07-23,,Mensal,116.91,Zona Oeste,Funcional,40,3.26,False,0,False,False,False,False,False,Ativo,161,5.29,False,618.45,2025-07,35-44,Medio-Presencial,False,False,False,False
142,2024-01-17,2024-06-18,Mensal,129.9,Zona Leste,Musculacao,46,2.82,True,15,False,False,False,False,True,Cancelado,153,5.03,False,653.4,2024-01,45-54,Medio-Digital,False,False,False,False
143,2025-03-01,2025-09-12,Anual,85.4,Zona Oeste,Funcional,23,3.02,True,12,False,False,False,False,True,Cancelado,195,6.41,False,547.41,2025-03,16-24,Alto,False,False,False,False
144,2024-10-10,,Trimestral,109.9,Zona Leste,Spinning,32,7.0,True,25,False,False,False,False,False,Ativo,447,14.68,False,1613.33,2024-10,25-34,Alto,False,False,False,False
145,2024-06-05,2024-09-21,Mensal,116.91,Zona Leste,Musculacao,32,4.11,True,13,False,False,False,False,True,Cancelado,108,3.55,False,415.03,2024-06,25-34,Alto,False,False,False,False
